iter	Passed	Remaining
652	41015	84606
653	41091	84570
654	41159	84517
655	41226	84463
656	41300	84423
657	41367	84368
658	41431	84309
659	41501	84260
660	41577	84223
661	41643	84168
662	41709	84110
663	41779	84062
664	41861	84037
665	41931	83988
666	42010	83957
667	42065	83878
668	42135	83829
669	42193	83757
670	42258	83699
671	42324	83641
672	42387	83577
673	42452	83519
674	42522	83470
675	42591	83419
676	42660	83366
677	42725	83307
678	42795	83258
679	42847	83175
680	42917	83124
681	42977	83056
682	43039	82992
683	43107	82937
684	43173	82881
685	43239	82823
686	43306	82767
687	43368	82701
688	43429	82635
689	43494	82576
690	43563	82525
691	43634	82477
692	43705	82427
693	43772	82373
694	43842	82323
695	43907	82263
696	43968	82195
697	44034	82138
698	44090	82062
699	44151	81995
700	44218	81939
701	44285	81884
702	44362	81846
703	44430	81792
704	44491	81725
705	44548	81652
706	44622	81607
707	44686	81546
708	44756	81495
709	44824	81441
710	44889	81382
711	44957	81327
712	45031	81283
713	45098	81227
714	45167	81174
715	45231	81114
716	45303	81065
717	45369	81007
718	45444	80965
719	45520	80925
720	45594	80881
721	45677	80853
722	45750	80807
723	45829	80770
724	45896	80713
725	45962	80655
726	46028	80597
727	46094	80538
728	46163	80485
729	46230	80428
730	46298	80372
731	46374	80331
732	46441	80274
733	46514	80228
734	46583	80174
735	46638	80095
736	46708	80043
737	46772	79981
738	46841	79929
739	46910	79874
740	46988	79836
741	47055	79778
742	47124	79724
743	47188	79661
744	47257	79609
745	47325	79553
746	47388	79487
747	47473	79460
748	47541	79404
749	47608	79348
750	47671	79283
751	47734	79219
752	47802	79162
753	47869	79106
754	47940	79054
755	48000	78985
756	48071	78934
757	48144	78885
758	48212	78829
759	48274	78762
760	48333	78693
761	48402	78638
762	48468	78578
763	48540	78528
764	48616	78485
765	48691	78439
766	48756	78378
767	48824	78322
768	48903	78284
769	48976	78235
770	49036	78166
771	49112	78121
772	49182	78067
773	49248	78007
774	49321	77959
775	49398	77917
776	49475	77874
777	49543	77817
778	49609	77758
779	49677	77701
780	49747	77646
781	49812	77584
782	49880	77528
783	49943	77463
784	50013	77409
785	50076	77344
786	50143	77286
787	50210	77226
788	50278	77170
789	50347	77114
790	50420	77065
791	50492	77014
792	50561	76957
793	50638	76914
794	50707	76858
795	50769	76792
796	50839	76737
797	50912	76687
798	50985	76637
799	51057	76586
800	51120	76521
801	51179	76450
802	51252	76399
803	51323	76346
804	51395	76295
805	51464	76239
806	51545	76199
807	51613	76142
808	51691	76099
809	51762	76046
810	51830	75987
811	51900	75933
812	51978	75889
813	52046	75832
814	52110	75767
815	52177	75708
816	52265	75679
817	52330	75616
818	52393	75551
819	52451	75479
820	52517	75418
821	52578	75349
822	52647	75293
823	52723	75246
824	52783	75177
825	52843	75106
826	52913	75051
827	52964	74969
828	53028	74904
829	53093	74842
830	53154	74774
831	53212	74702
832	53276	74638
833	53339	74573
834	53396	74499
835	53462	74438
836	53531	74380
837	53595	74316
838	53657	74250
839	53726	74194
840	53797	74139
841	53866	74082
842	53929	74017
843	53993	73953
844	54048	73876
845	54099	73794
846	54163	73730
847	54232	73674
848	54294	73608
849	54357	73541
850	54420	73477
851	54480	73408
852	54532	73328
853	54595	73263
854	54659	73199
855	54721	73132
856	54780	73061
857	54838	72989
858	54897	72919
859	54975	72875
860	55033	72802
861	55092	72732
862	55153	72665
863	55209	72590
864	55270	72522
865	55339	72465
866	55405	72404
867	55471	72343
868	55541	72287
869	55612	72232
870	55673	72164
871	55736	72099
872	55805	72042
873	55870	71980
874	55939	71922
875	56007	71863
876	56070	71798
877	56132	71731
878	56186	71654
879	56246	71586
880	56309	71521
881	56381	71467
882	56442	71400
883	56504	71334
884	56583	71288
885	56646	71223
886	56717	71168
887	56793	71119
888	56857	71056
889	56927	70999
890	56997	70942
891	57056	70872
892	57130	70821
893	57202	70767
894	57269	70706
895	57333	70642
896	57402	70585
897	57469	70525
898	57534	70462
899	57604	70405
900	57677	70352
901	57750	70299
902	57824	70247
903	57886	70180
904	57966	70135
905	58034	70076
906	58099	70013
907	58162	69948
908	58227	69885
909	58293	69824
910	58360	69763
911	58429	69704
912	58508	69658
913	58580	69604
914	58661	69559
915	58732	69504
916	58796	69439
917	58872	69390
918	58945	69336
919	59010	69273
920	59089	69226
921	59161	69170
922	59225	69107
923	59289	69043
924	59358	68983
925	59436	68935
926	59504	68876
927	59571	68815
928	59635	68751
929	59699	68686
930	59772	68631
931	59830	68560
932	59918	68523
933	59990	68468
934	60058	68408
935	60127	68349
936	60185	68279
937	60247	68212
938	60325	68163
939	60391	68101
940	60458	68040
941	60530	67984
942	60600	67926
943	60670	67868
944	60732	67801
945	60783	67722
946	60847	67658
947	60918	67601
948	60992	67548
949	61081	67510
950	61156	67458
951	61223	67397
952	61294	67340
953	61367	67285
954	61437	67227
955	61517	67180
956	61587	67122
957	61650	67056
958	61731	67010
959	61802	66952
960	61881	66904
961	61950	66844
962	62032	66798
963	62118	66758
964	62197	66709
965	62263	66646
966	62331	66585
967	62401	66527
968	62465	66462
969	62528	66396
970	62602	66342
971	62676	66288
972	62749	66231
973	62819	66173
974	62887	66112
975	62962	66059
976	63029	65997
977	63095	65933
978	63166	65876
979	63220	65800
980	63273	65724
981	63325	65646
982	63385	65577
983	63440	65504
984	63494	65428
985	63565	65370
986	63646	65322
987	63714	65262
988	63782	65201
989	63845	65135
990	63910	65071
991	63983	65015
992	64046	64949
993	64104	64878
994	64175	64820
995	64239	64755
996	64306	64693
997	64366	64624
998	64430	64559
999	64479	64479
1000	64543	64414
1001	64606	64348
1002	64679	64292
1003	64748	64232
1004	64824	64179
1005	64888	64114
1006	64959	64056
1007	65031	63999
1008	65115	63953
1009	65184	63893
1010	65253	63833
1011	65317	63768
1012	65391	63713
1013	65449	63642
1014	65508	63572
1015	65579	63513
1016	65639	63444
1017	65714	63390
1018	65784	63330
1019	65851	63269
1020	65927	63215
1021	66001	63159
1022	66066	63095
1023	66127	63028
1024	66205	62976
1025	66268	62909
1026	66348	62860
1027	66410	62792
1028	66468	62721
1029	66524	62649
1030	66593	62588
1031	66670	62535
1032	66739	62475
1033	66812	62418
1034	66880	62356
1035	66941	62289
1036	67010	62228
1037	67074	62163
1038	67140	62099
1039	67202	62032
1040	67271	61972
1041	67332	61904
1042	67406	61848
1043	67468	61781
1044	67542	61725
1045	67625	61677
1046	67694	61616
1047	67762	61554
1048	67830	61493
1049	67897	61431
1050	67956	61361
1051	68043	61317
1052	68112	61255
1053	68178	61192
1054	68251	61134
1055	68315	61069
1056	68375	61001
1057	68439	60935
1058	68501	60868
1059	68570	60807
1060	68671	60775
1061	68737	60711
1062	68804	60648
1063	68862	60578
1064	68922	60509
1065	68987	60444
1066	69053	60381
1067	69119	60318
1068	69184	60252
1069	69244	60184
1070	69309	60119
1071	69368	60050
1072	69439	59991
1073	69511	59932
1074	69574	59866
1075	69636	59799
1076	69687	59722
1077	69756	59662
1078	69823	59599
1079	69896	59541
1080	69958	59474
1081	70023	59409
1082	70089	59346
1083	70166	59292
1084	70223	59221
1085	70277	59146
1086	70328	59070
1087	70383	58998
1088	70448	58933
1089	70518	58873
1090	70599	58821
1091	70661	58754
1092	70726	58690
1093	70782	58618
1094	70839	58547
1095	70918	58495
1096	70976	58424
1097	71042	58360
1098	71107	58296
1099	71161	58223
1100	71224	58156
1101	71280	58085
1102	71333	58011
1103	71397	57945
1104	71463	57882
1105	71528	57817
1106	71592	57752
1107	71657	57688
1108	71730	57630
1109	71803	57571
1110	71874	57512
1111	71941	57449
1112	72006	57385
1113	72073	57322
1114	72139	57259
1115	72196	57188
1116	72268	57129
1117	72320	57054
1118	72381	56986
1119	72445	56921
1120	72512	56858
1121	72574	56792
1122	72641	56728
1123	72703	56662
1124	72759	56590
1125	72829	56530
1126	72900	56470
1127	72958	56400
1128	73035	56344
1129	73102	56282
1130	73167	56218
1131	73226	56149
1132	73290	56083
1133	73362	56024
1134	73424	55957
1135	73494	55897
1136	73566	55838
1137	73635	55776
1138	73705	55715
1139	73770	55651
1140	73846	55595
1141	73902	55524
1142	73970	55461
1143	74037	55398
1144	74105	55336
1145	74179	55278
1146	74254	55221
1147	74329	55164
1148	74391	55097
1149	74448	55027
1150	74512	54961
1151	74577	54897
1152	74636	54828
1153	74700	54763
1154	74777	54707
1155	74847	54646
1156	74913	54582
1157	74980	54519
1158	75062	54467
1159	75125	54401
1160	75196	54341
1161	75262	54277
1162	75336	54218
1163	75395	54150
1164	75460	54085
1165	75522	54018
1166	75592	53957
1167	75660	53895
1168	75732	53835
1169	75810	53780
1170	75895	53729
1171	75968	53670
1172	76042	53612
1173	76095	53538
1174	76152	53468
1175	76221	53406
1176	76278	53336
1177	76339	53269
1178	76391	53195
1179	76458	53132
1180	76529	53071
1181	76599	53010
1182	76677	52954
1183	76748	52894
1184	76819	52833
1185	76890	52773
1186	76956	52709
1187	77029	52649
1188	77094	52584
1189	77157	52519
1190	77223	52455
1191	77297	52396
1192	77367	52334
1193	77435	52272
1194	77511	52214
1195	77584	52155
1196	77651	52091
1197	77719	52028
1198	77797	51973
1199	77864	51909
1200	77926	51842
1201	77987	51775
1202	78063	51717
1203	78148	51666
1204	78201	51593
1205	78256	51521
1206	78318	51455
1207	78379	51387
1208	78434	51316
1209	78500	51252
1210	78569	51190
1211	78623	51118
1212	78678	51046
1213	78733	50975
1214	78790	50905
1215	78845	50834
1216	78907	50767
1217	78964	50698
1218	79032	50635
1219	79097	50570
1220	79157	50502
1221	79224	50438
1222	79284	50371
1223	79341	50301
1224	79404	50235
1225	79458	50164
1226	79515	50093
1227	79576	50027
1228	79646	49965
1229	79709	49899
1230	79776	49836
1231	79842	49771
1232	79909	49708
1233	79980	49647
1234	80042	49580
1235	80098	49510
1236	80156	49441
1237	80222	49377
1238	80281	49309
1239	80352	49248
1240	80436	49195
1241	80495	49127
1242	80553	49058
1243	80608	48986
1244	80673	48922
1245	80737	48857
1246	80793	48787
1247	80854	48720
1248	80920	48656
1249	80987	48592
1250	81056	48530
1251	81109	48458
1252	81169	48391
1253	81231	48324
1254	81297	48260
1255	81359	48193
1256	81416	48124
1257	81471	48054
1258	81545	47994
1259	81614	47932
1260	81686	47871
1261	81749	47805
1262	81820	47744
1263	81898	47687
1264	81974	47629
1265	82031	47560
1266	82095	47494
1267	82163	47432
1268	82218	47361
1269	82282	47296
1270	82346	47230
1271	82430	47177
1272	82486	47107
1273	82553	47044
1274	82625	46982
1275	82686	46916
1276	82753	46852
1277	82823	46790
1278	82900	46732
1279	82965	46668
1280	83032	46604
1281	83094	46537
1282	83167	46478
1283	83237	46416
1284	83312	46356
1285	83377	46291
1286	83443	46227
1287	83508	46163
1288	83578	46100
1289	83651	46040
1290	83727	45981
1291	83796	45919
1292	83855	45851
1293	83923	45788
1294	83976	45717
1295	84029	45645
1296	84093	45580
1297	84175	45524
1298	84228	45453
1299	84283	45383
1300	84344	45316
1301	84403	45248
1302	84458	45178
