,blue_fighter,red_fighter,blue_fighter_kd,red_fighter_kd,blue_fighter_sig_str,red_fighter_sig_str,blue_fighter_sig_str_perc,red_fighter_sig_str_perc,blue_fighter_total_str,red_fighter_total_str,blue_fighter_td,red_fighter_td,blue_fighter_td_perc,red_fighter_td_perc,blue_fighter_sub_att,red_fighter_sub_att,blue_fighter_rev,red_fighter_rev,blue_fighter_ctrl,red_fighter_ctrl,blue_fighter_sig_str_head,red_fighter_sig_str_head,blue_fighter_sig_str_body,red_fighter_sig_str_body,blue_fighter_sig_str_leg,red_fighter_sig_str_leg,blue_fighter_sig_str_distance,red_fighter_sig_str_distance,blue_fighter_sig_str_clinch,red_fighter_sig_str_clinch,blue_fighter_sig_str_ground,red_fighter_sig_str_ground
427,Jan Blachowicz,Carlos Ulberg,0,0,59 of 131,75 of 157,45%,47%,59 of 131,75 of 157,0 of 1,0 of 1,0%,0%,0,0,0,0,0:00,0:08,17 of 67,19 of 87,10 of 26,6 of 15,32 of 38,50 of 55,59 of 131,74 of 156,0 of 0,1 of 1,0 of 0,0 of 0
428,Gunnar Nelson,Kevin Holland,0,1,15 of 24,55 of 89,62%,61%,30 of 44,138 of 178,3 of 10,0 of 1,30%,0%,1,0,0,0,9:29,1:04,10 of 19,30 of 57,4 of 4,15 of 20,1 of 1,10 of 12,2 of 7,15 of 34,7 of 8,22 of 27,6 of 9,18 of 28
429,Molly McCann,Alexia Thainara,0,0,9 of 21,11 of 21,42%,52%,14 of 28,17 of 32,0 of 0,1 of 1,---,100%,0,2,0,0,0:00,3:24,6 of 17,7 of 13,2 of 3,1 of 2,1 of 1,3 of 6,4 of 11,6 of 14,0 of 0,0 of 0,5 of 10,5 of 7
430,Jordan Vucenic,Chris Duncan,0,1,16 of 26,15 of 40,61%,37%,22 of 32,24 of 50,1 of 2,4 of 5,50%,80%,0,1,0,0,0:12,5:37,13 of 21,9 of 31,1 of 1,5 of 5,2 of 4,1 of 4,12 of 22,8 of 30,2 of 2,1 of 2,2 of 2,6 of 8
431,Nathaniel Wood,Morgan Charriere,1,0,72 of 119,42 of 94,60%,44%,89 of 136,69 of 125,0 of 0,1 of 3,---,33%,1,0,0,1,1:00,3:24,42 of 80,21 of 64,5 of 8,13 of 18,25 of 31,8 of 12,62 of 104,37 of 87,3 of 4,3 of 3,7 of 11,2 of 4
432,Jai Herbert,Chris Padilla,0,0,38 of 122,39 of 98,31%,39%,59 of 143,88 of 147,0 of 1,0 of 6,0%,0%,0,0,0,0,0:01,3:41,19 of 92,20 of 60,10 of 19,6 of 9,9 of 11,13 of 29,37 of 120,35 of 94,1 of 2,4 of 4,0 of 0,0 of 0
433,Lone'er Kavanagh,Felipe dos Santos,0,0,58 of 97,51 of 104,59%,49%,71 of 112,92 of 147,4 of 6,0 of 3,66%,0%,0,1,0,0,6:33,0:56,37 of 71,28 of 67,11 of 15,9 of 21,10 of 11,14 of 16,29 of 56,28 of 77,3 of 6,4 of 4,26 of 35,19 of 23
434,Marcin Tybura,Mick Parkin,0,0,61 of 155,60 of 145,39%,41%,64 of 158,102 of 192,1 of 2,1 of 1,50%,100%,0,0,0,0,1:01,3:43,28 of 110,47 of 130,29 of 40,1 of 2,4 of 5,12 of 13,60 of 151,49 of 118,1 of 4,2 of 2,0 of 0,9 of 25
435,Christian Leroy Duncan,Andrey Pulyaev,0,0,73 of 141,18 of 55,51%,32%,116 of 187,36 of 78,0 of 2,0 of 4,0%,0%,0,0,0,0,5:36,1:49,35 of 87,8 of 43,17 of 28,7 of 8,21 of 26,3 of 4,47 of 105,14 of 48,26 of 36,4 of 7,0 of 0,0 of 0
436,Shauna Bannon,Puja Tomar,0,1,52 of 104,36 of 72,50%,50%,64 of 117,38 of 74,0 of 0,0 of 0,---,---,2,0,0,0,0:59,1:07,16 of 37,22 of 51,24 of 46,10 of 12,12 of 21,4 of 9,49 of 99,27 of 60,3 of 5,2 of 4,0 of 0,7 of 8
437,Nathan Fletcher,Caolan Loughran,0,0,59 of 100,30 of 84,59%,35%,114 of 158,65 of 128,1 of 7,6 of 12,14%,50%,0,0,0,0,4:14,5:58,41 of 79,22 of 67,12 of 15,7 of 13,6 of 6,1 of 4,25 of 57,24 of 75,33 of 40,6 of 9,1 of 3,0 of 0
438,Guram Kutateladze,Kaue Fernandes,0,2,29 of 71,79 of 149,40%,53%,36 of 81,79 of 149,0 of 5,2 of 2,0%,100%,0,0,0,0,0:05,1:43,16 of 51,40 of 103,10 of 15,16 of 19,3 of 5,23 of 27,23 of 64,62 of 127,6 of 7,5 of 5,0 of 0,12 of 17
439,Marvin Vettori,Roman Dolidze,0,0,111 of 220,141 of 338,50%,41%,112 of 221,141 of 340,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:15,72 of 173,85 of 253,8 of 11,20 of 36,31 of 36,36 of 49,110 of 218,137 of 332,1 of 2,4 of 6,0 of 0,0 of 0
440,Chidi Njokuani,Elizeu Zaleski dos Santos,1,0,46 of 87,17 of 49,52%,34%,46 of 88,19 of 54,0 of 0,1 of 5,---,20%,0,0,0,0,0:10,1:14,17 of 38,5 of 28,16 of 32,2 of 5,13 of 17,10 of 16,36 of 71,13 of 44,2 of 3,4 of 5,8 of 13,0 of 0
441,Alexander Hernandez,Kurt Holobaugh,0,0,59 of 149,71 of 171,39%,41%,87 of 186,106 of 215,4 of 5,0 of 0,80%,---,0,1,0,0,6:39,0:32,36 of 117,39 of 122,10 of 15,21 of 35,13 of 17,11 of 14,45 of 129,63 of 160,2 of 3,8 of 11,12 of 17,0 of 0
442,Da'Mon Blackshear,Cody Gibson,0,0,13 of 39,45 of 71,33%,63%,46 of 74,53 of 82,0 of 1,1 of 5,0%,20%,3,0,1,0,3:32,2:42,11 of 35,23 of 47,2 of 4,12 of 14,0 of 0,10 of 10,11 of 37,31 of 53,2 of 2,14 of 18,0 of 0,0 of 0
443,Diyar Nurgozhay,Brendson Ribeiro,0,1,17 of 39,28 of 58,43%,48%,20 of 42,29 of 60,2 of 2,0 of 1,100%,0%,0,1,0,1,0:49,0:14,5 of 21,13 of 35,7 of 13,5 of 10,5 of 5,10 of 13,16 of 36,28 of 58,1 of 3,0 of 0,0 of 0,0 of 0
444,SeungWoo Choi,Kevin Vallejos,0,1,16 of 44,14 of 27,36%,51%,16 of 44,26 of 39,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:05,4 of 20,4 of 12,1 of 8,3 of 6,11 of 16,7 of 9,16 of 44,13 of 26,0 of 0,0 of 0,0 of 0,1 of 1
445,Waldo Cortes Acosta,Ryan Spann,1,0,66 of 111,23 of 86,59%,26%,77 of 123,24 of 87,0 of 1,0 of 2,0%,0%,0,0,0,0,0:57,0:05,56 of 97,11 of 70,4 of 6,5 of 9,6 of 8,7 of 7,59 of 100,22 of 85,1 of 2,1 of 1,6 of 9,0 of 0
446,SuYoung You,AJ Cunningham,0,0,18 of 32,16 of 52,56%,30%,77 of 96,19 of 55,5 of 10,0 of 0,50%,---,1,1,0,0,7:54,0:00,8 of 21,11 of 45,5 of 5,1 of 1,5 of 6,4 of 6,18 of 31,16 of 52,0 of 0,0 of 0,0 of 1,0 of 0
447,Carlos Vera,Josias Musasa,1,0,16 of 24,13 of 31,66%,41%,18 of 26,13 of 31,0 of 2,0 of 1,0%,0%,2,0,0,0,0:14,0:10,3 of 10,3 of 13,3 of 3,0 of 2,10 of 11,10 of 16,16 of 24,13 of 31,0 of 0,0 of 0,0 of 0,0 of 0
448,Stephanie Luciano,Sam Hughes,0,0,82 of 251,76 of 152,32%,50%,101 of 273,146 of 233,1 of 2,3 of 8,50%,37%,0,1,0,0,1:15,4:21,45 of 202,43 of 113,23 of 34,15 of 20,14 of 15,18 of 19,79 of 246,69 of 144,3 of 5,3 of 4,0 of 0,4 of 4
449,Daniel Barez,Andre Lima,0,0,33 of 79,108 of 159,41%,67%,34 of 80,161 of 220,1 of 5,2 of 2,20%,100%,0,1,0,0,0:17,4:50,21 of 66,59 of 99,8 of 9,23 of 27,4 of 4,26 of 33,32 of 77,90 of 140,1 of 2,16 of 17,0 of 0,2 of 2
450,Josiane Nunes,Priscila Cachoeira,0,1,31 of 67,37 of 76,46%,48%,31 of 67,39 of 78,0 of 1,0 of 0,0%,---,0,0,0,0,0:00,0:02,17 of 49,31 of 70,7 of 11,4 of 4,7 of 7,2 of 2,31 of 67,37 of 75,0 of 0,0 of 0,0 of 0,0 of 1
451,Yuneisy Duben,Carli Judice,0,1,14 of 41,17 of 43,34%,39%,14 of 41,19 of 45,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:02,8 of 32,12 of 34,0 of 0,5 of 9,6 of 9,0 of 0,14 of 41,15 of 40,0 of 0,0 of 0,0 of 0,2 of 3
452,Alex Pereira,Magomed Ankalaev,0,0,76 of 137,94 of 180,55%,52%,97 of 159,127 of 224,0 of 1,0 of 12,0%,0%,0,0,0,0,0:00,5:42,11 of 57,36 of 112,17 of 25,30 of 39,48 of 55,28 of 29,69 of 130,75 of 159,7 of 7,19 of 21,0 of 0,0 of 0
453,Justin Gaethje,Rafael Fiziev,1,0,72 of 134,68 of 119,53%,57%,98 of 163,81 of 134,0 of 3,2 of 2,0%,100%,0,0,0,0,1:32,0:40,56 of 117,20 of 61,9 of 9,43 of 52,7 of 8,5 of 6,41 of 92,49 of 100,26 of 34,14 of 14,5 of 8,5 of 5
454,Jalin Turner,Ignacio Bahamondes,0,0,7 of 20,10 of 16,35%,62%,11 of 25,17 of 23,0 of 0,0 of 1,---,0%,0,1,0,0,1:43,0:00,4 of 16,7 of 13,2 of 3,0 of 0,1 of 1,3 of 3,5 of 12,6 of 11,0 of 1,0 of 0,2 of 7,4 of 5
455,Amanda Lemos,Iasmin Lucindo,0,0,12 of 21,4 of 16,57%,25%,30 of 42,40 of 56,3 of 5,1 of 1,60%,100%,0,0,0,0,7:58,4:04,8 of 16,2 of 12,2 of 3,2 of 3,2 of 2,0 of 1,7 of 14,1 of 13,1 of 1,2 of 2,4 of 6,1 of 1
456,King Green,Mauricio Ruffy,0,1,4 of 15,4 of 9,26%,44%,4 of 15,4 of 9,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:03,1 of 7,4 of 7,1 of 3,0 of 0,2 of 5,0 of 2,4 of 15,4 of 9,0 of 0,0 of 0,0 of 0,0 of 0
457,Joshua Van,Rei Tsuruya,0,0,59 of 97,32 of 84,60%,38%,127 of 169,47 of 104,0 of 0,4 of 21,---,19%,0,0,0,0,0:50,3:49,39 of 74,28 of 78,19 of 22,2 of 4,1 of 1,2 of 2,53 of 90,32 of 83,5 of 5,0 of 1,1 of 2,0 of 0
458,Brunno Ferreira,Armen Petrosyan,0,0,27 of 56,46 of 83,48%,55%,31 of 63,47 of 84,2 of 7,0 of 0,28%,---,1,0,0,0,1:12,0:00,14 of 40,19 of 54,9 of 10,7 of 7,4 of 6,20 of 22,25 of 53,46 of 83,2 of 3,0 of 0,0 of 0,0 of 0
459,Alex Morono,Carlos Leal,0,0,40 of 95,79 of 120,42%,65%,41 of 96,81 of 123,0 of 1,0 of 0,0%,---,0,0,0,0,0:20,0:03,32 of 82,49 of 89,4 of 9,28 of 29,4 of 4,2 of 2,35 of 87,54 of 91,5 of 8,25 of 29,0 of 0,0 of 0
460,Mairon Santos,Francis Marshall,0,0,58 of 129,39 of 143,44%,27%,78 of 154,64 of 179,0 of 1,3 of 5,0%,60%,0,0,0,0,0:02,2:35,29 of 80,32 of 136,14 of 30,1 of 1,15 of 19,6 of 6,57 of 128,39 of 142,1 of 1,0 of 0,0 of 0,0 of 1
461,Djorden Santos,Ozzy Diaz,0,0,131 of 345,135 of 261,37%,51%,134 of 348,136 of 262,1 of 3,0 of 0,33%,---,0,0,0,0,0:26,0:00,115 of 323,119 of 240,8 of 14,9 of 13,8 of 8,7 of 8,130 of 342,130 of 255,0 of 1,5 of 6,1 of 2,0 of 0
462,Manel Kape,Asu Almabayev,0,0,61 of 115,40 of 80,53%,50%,62 of 119,40 of 81,0 of 1,0 of 6,0%,0%,0,0,0,0,0:29,0:00,47 of 95,19 of 55,11 of 17,13 of 17,3 of 3,8 of 8,46 of 94,38 of 77,9 of 15,2 of 3,6 of 6,0 of 0
463,Cody Brundage,Julian Marquez,1,0,44 of 79,37 of 73,55%,50%,68 of 106,53 of 96,0 of 1,0 of 0,0%,---,0,1,0,0,0:48,0:30,39 of 71,31 of 64,1 of 2,5 of 8,4 of 6,1 of 1,34 of 65,24 of 51,5 of 8,13 of 22,5 of 6,0 of 0
464,Nasrat Haqparast,Esteban Ribovics,0,0,135 of 273,147 of 433,49%,33%,135 of 273,149 of 436,1 of 5,0 of 0,20%,---,0,0,0,0,0:49,0:00,103 of 233,120 of 395,26 of 34,17 of 27,6 of 6,10 of 11,134 of 272,147 of 433,1 of 1,0 of 0,0 of 0,0 of 0
465,Hyder Amil,William Gomis,0,0,115 of 202,101 of 187,56%,54%,164 of 262,116 of 205,1 of 6,0 of 3,16%,0%,0,0,0,0,2:43,1:22,60 of 140,60 of 134,37 of 42,27 of 39,18 of 20,14 of 14,98 of 180,90 of 169,15 of 20,11 of 18,2 of 2,0 of 0
466,Danny Barlow,Sam Patterson,0,1,15 of 30,18 of 34,50%,52%,15 of 30,18 of 34,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:03,10 of 23,14 of 28,2 of 3,4 of 6,3 of 4,0 of 0,15 of 30,15 of 29,0 of 0,0 of 0,0 of 0,3 of 5
467,Austen Lane,Mario Pinto,1,1,32 of 63,13 of 23,50%,56%,36 of 75,16 of 26,0 of 1,0 of 1,0%,0%,0,0,0,0,0:53,0:18,17 of 42,8 of 18,13 of 17,2 of 2,2 of 4,3 of 3,31 of 58,12 of 20,1 of 5,1 of 2,0 of 0,0 of 1
468,Ricardo Ramos,Chepe Mariscal,0,0,37 of 91,85 of 162,40%,52%,37 of 91,125 of 210,1 of 4,2 of 5,25%,40%,0,0,0,0,0:28,2:35,17 of 63,59 of 122,14 of 18,9 of 14,6 of 10,17 of 26,32 of 84,64 of 132,5 of 7,14 of 19,0 of 0,7 of 11
469,Danny Silva,Lucas Almeida,0,0,82 of 137,74 of 240,59%,30%,85 of 141,78 of 244,1 of 3,0 of 1,33%,0%,0,0,0,0,0:49,0:17,45 of 96,49 of 203,14 of 18,14 of 23,23 of 23,11 of 14,81 of 133,73 of 239,0 of 2,1 of 1,1 of 2,0 of 0
470,Andrea Lee,JJ Aldrich,0,0,53 of 175,74 of 137,30%,54%,66 of 192,77 of 142,1 of 4,2 of 3,25%,66%,1,0,0,0,0:46,1:20,13 of 109,54 of 114,25 of 44,10 of 13,15 of 22,10 of 10,52 of 174,68 of 130,1 of 1,5 of 6,0 of 0,1 of 1
471,Charles Johnson,Ramazan Temirov,0,0,66 of 156,55 of 139,42%,39%,87 of 183,59 of 146,0 of 3,1 of 2,0%,50%,0,0,0,0,1:18,0:23,28 of 104,42 of 117,23 of 32,13 of 22,15 of 20,0 of 0,46 of 129,46 of 118,20 of 27,9 of 19,0 of 0,0 of 2
472,Henry Cejudo,Song Yadong,0,0,67 of 133,84 of 178,50%,47%,67 of 133,84 of 178,0 of 3,0 of 1,0%,0%,0,0,0,0,0:00,0:00,40 of 100,46 of 133,12 of 18,14 of 21,15 of 15,24 of 24,67 of 132,82 of 176,0 of 1,2 of 2,0 of 0,0 of 0
473,Brendan Allen,Anthony Hernandez,0,0,14 of 26,30 of 42,53%,71%,53 of 71,72 of 91,0 of 1,4 of 8,0%,50%,1,0,3,2,2:58,10:22,8 of 19,30 of 42,3 of 3,0 of 0,3 of 4,0 of 0,10 of 22,12 of 17,2 of 2,0 of 1,2 of 2,18 of 24
474,Rob Font,Jean Matsumoto,0,0,95 of 171,77 of 181,55%,42%,113 of 191,113 of 225,0 of 0,7 of 10,---,70%,1,0,0,0,1:18,6:15,82 of 157,43 of 135,13 of 14,9 of 13,0 of 0,25 of 33,85 of 157,69 of 169,10 of 14,8 of 12,0 of 0,0 of 0
475,Jean Silva,Melsik Baghdasaryan,1,0,18 of 27,7 of 25,66%,28%,18 of 27,7 of 25,0 of 0,0 of 0,---,---,0,0,0,0,0:06,0:00,11 of 19,5 of 20,7 of 8,0 of 3,0 of 0,2 of 2,11 of 20,7 of 25,0 of 0,0 of 0,7 of 7,0 of 0
476,Alonzo Menifield,Julius Walker,0,0,87 of 147,86 of 171,59%,50%,113 of 179,114 of 200,0 of 1,1 of 9,0%,11%,0,0,0,0,0:43,5:31,64 of 120,37 of 112,19 of 22,33 of 43,4 of 5,16 of 16,78 of 132,51 of 124,9 of 15,35 of 47,0 of 0,0 of 0
477,Ion Cutelaba,Ibo Aslan,0,0,14 of 31,15 of 30,45%,50%,17 of 39,15 of 30,2 of 4,0 of 0,50%,---,1,0,0,0,1:06,0:00,10 of 26,14 of 28,2 of 3,0 of 1,2 of 2,1 of 1,10 of 26,12 of 27,1 of 2,3 of 3,3 of 3,0 of 0
478,Andre Fili,Melquizael Costa,0,0,7 of 24,27 of 56,29%,48%,7 of 24,27 of 56,1 of 1,0 of 1,100%,0%,0,1,0,0,0:24,0:00,4 of 20,3 of 25,3 of 4,10 of 13,0 of 0,14 of 18,7 of 24,26 of 55,0 of 0,1 of 1,0 of 0,0 of 0
479,Mansur Abdul-Malik,Nick Klein,0,0,29 of 54,28 of 46,53%,60%,32 of 58,50 of 70,1 of 3,1 of 9,33%,11%,0,0,0,0,0:35,3:01,28 of 53,5 of 18,1 of 1,2 of 5,0 of 0,21 of 23,6 of 20,26 of 43,12 of 19,2 of 3,11 of 15,0 of 0
480,Ricky Simon,Javid Basharat,1,0,11 of 21,20 of 36,52%,55%,18 of 29,21 of 38,1 of 3,0 of 0,33%,---,0,0,0,0,1:16,0:01,9 of 19,12 of 27,1 of 1,7 of 7,1 of 1,1 of 2,9 of 18,20 of 36,1 of 2,0 of 0,1 of 1,0 of 0
481,Nikolay Veretennikov,Austin Vanderford,0,0,5 of 19,39 of 52,26%,75%,21 of 36,102 of 121,0 of 0,2 of 4,---,50%,0,1,0,0,0:00,7:21,0 of 12,37 of 50,3 of 5,1 of 1,2 of 2,1 of 1,5 of 19,3 of 8,0 of 0,0 of 0,0 of 0,36 of 44
482,Nursulton Ruziboev,Eric McConico,2,0,20 of 42,5 of 13,47%,38%,24 of 46,6 of 16,0 of 0,0 of 0,---,---,0,0,0,0,0:36,0:00,15 of 35,1 of 5,4 of 6,1 of 3,1 of 1,3 of 5,13 of 30,5 of 13,6 of 11,0 of 0,1 of 1,0 of 0
483,Modestas Bukauskas,Rafael Cerqueira,1,0,16 of 41,9 of 22,39%,40%,16 of 41,9 of 22,0 of 0,0 of 0,---,---,0,0,0,0,0:02,0:00,11 of 36,4 of 16,3 of 3,0 of 1,2 of 2,5 of 5,16 of 40,9 of 22,0 of 0,0 of 0,0 of 1,0 of 0
484,Jared Cannonier,Gregory Rodrigues,2,2,98 of 201,93 of 221,48%,42%,109 of 215,95 of 225,1 of 3,0 of 3,33%,0%,0,0,0,0,2:09,0:17,59 of 157,65 of 188,20 of 23,21 of 25,19 of 21,7 of 8,69 of 161,85 of 208,20 of 25,8 of 12,9 of 15,0 of 1
485,Calvin Kattar,Youssef Zalal,0,0,38 of 134,74 of 133,28%,55%,38 of 134,75 of 134,0 of 0,0 of 8,---,0%,0,0,0,0,0:00,0:00,27 of 110,53 of 104,5 of 11,5 of 9,6 of 13,16 of 20,35 of 128,74 of 133,3 of 6,0 of 0,0 of 0,0 of 0
486,Edmen Shahbazyan,Dylan Budka,1,0,7 of 15,1 of 16,46%,6%,7 of 15,1 of 16,0 of 0,0 of 0,---,---,0,0,0,0,0:03,0:00,5 of 13,1 of 12,2 of 2,0 of 4,0 of 0,0 of 0,6 of 12,1 of 16,0 of 0,0 of 0,1 of 3,0 of 0
487,Ismael Bonfim,Nazim Sadykhov,0,0,26 of 42,13 of 46,61%,28%,26 of 43,14 of 49,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:35,14 of 29,9 of 35,5 of 5,2 of 7,7 of 8,2 of 4,24 of 39,12 of 44,2 of 3,1 of 2,0 of 0,0 of 0
488,Rodolfo Vieira,Andre Petroski,0,0,58 of 99,55 of 111,58%,49%,60 of 101,58 of 114,1 of 11,0 of 2,9%,0%,0,0,0,0,1:50,0:05,31 of 66,26 of 72,6 of 8,7 of 13,21 of 25,22 of 26,53 of 93,54 of 109,5 of 6,0 of 0,0 of 0,1 of 2
489,Connor Matthews,Jose Delgado,0,1,6 of 23,21 of 40,26%,52%,9 of 31,22 of 42,2 of 3,0 of 0,66%,---,0,0,0,0,0:47,0:08,6 of 20,14 of 29,0 of 3,6 of 7,0 of 0,1 of 4,6 of 23,14 of 30,0 of 0,0 of 0,0 of 0,7 of 10
490,Angela Hill,Ketlen Souza,0,0,86 of 158,70 of 138,54%,50%,103 of 176,77 of 146,2 of 6,0 of 2,33%,0%,0,0,0,0,4:31,0:03,40 of 96,41 of 101,40 of 55,19 of 23,6 of 7,10 of 14,63 of 131,61 of 128,16 of 19,9 of 10,7 of 8,0 of 0
491,Rafael Estevam,Jesus Aguilar,0,0,11 of 30,35 of 87,36%,40%,60 of 96,41 of 95,11 of 19,2 of 5,57%,40%,0,2,0,0,9:22,1:14,6 of 20,26 of 75,5 of 10,4 of 5,0 of 0,5 of 7,9 of 28,31 of 76,1 of 1,3 of 10,1 of 1,1 of 1
492,Gabriel Bonfim,Khaos Williams,0,0,35 of 72,20 of 90,48%,22%,35 of 72,23 of 94,4 of 5,0 of 0,80%,---,2,0,0,0,1:42,0:23,20 of 50,8 of 54,0 of 5,2 of 13,15 of 17,10 of 23,35 of 71,20 of 90,0 of 1,0 of 0,0 of 0,0 of 0
493,Vince Morales,Elijah Smith,0,0,40 of 86,40 of 97,46%,41%,42 of 90,52 of 110,2 of 4,3 of 4,50%,75%,3,1,2,2,3:07,2:53,30 of 74,29 of 81,8 of 10,2 of 3,2 of 2,9 of 13,36 of 81,37 of 94,4 of 5,3 of 3,0 of 0,0 of 0
494,Don'Tale Mayes,Valter Walker,0,0,1 of 2,1 of 3,50%,33%,3 of 4,5 of 9,0 of 0,1 of 2,---,50%,0,1,0,0,0:00,0:58,1 of 2,0 of 2,0 of 0,0 of 0,0 of 0,1 of 1,1 of 2,1 of 3,0 of 0,0 of 0,0 of 0,0 of 0
495,Julia Avila,Jacqueline Cavalcanti,0,0,54 of 138,73 of 199,39%,36%,57 of 145,75 of 201,1 of 2,0 of 1,50%,0%,0,0,0,0,1:39,0:00,17 of 86,54 of 176,9 of 18,11 of 13,28 of 34,8 of 10,51 of 134,73 of 198,3 of 4,0 of 1,0 of 0,0 of 0
496,Dricus Du Plessis,Sean Strickland,0,0,147 of 314,128 of 263,46%,48%,149 of 316,128 of 263,1 of 2,0 of 0,50%,---,0,0,0,0,0:05,0:00,50 of 193,90 of 212,45 of 59,29 of 41,52 of 62,9 of 10,147 of 314,128 of 263,0 of 0,0 of 0,0 of 0,0 of 0
497,Zhang Weili,Tatiana Suarez,0,0,53 of 87,12 of 36,60%,33%,232 of 299,63 of 95,1 of 3,1 of 15,33%,6%,1,0,0,0,10:54,5:56,32 of 56,1 of 16,16 of 21,2 of 6,5 of 10,9 of 14,29 of 62,10 of 33,11 of 11,2 of 3,13 of 14,0 of 0
498,Justin Tafa,Tallison Teixeira,0,1,0 of 1,8 of 9,0%,88%,0 of 1,9 of 10,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:11,0 of 1,5 of 6,0 of 0,3 of 3,0 of 0,0 of 0,0 of 1,1 of 2,0 of 0,3 of 3,0 of 0,4 of 4
499,Jimmy Crute,Rodolfo Bellato,1,0,106 of 209,89 of 141,50%,63%,139 of 247,95 of 148,0 of 3,1 of 2,0%,50%,0,0,0,0,3:52,0:29,93 of 190,36 of 76,8 of 10,24 of 29,5 of 9,29 of 36,77 of 170,85 of 136,11 of 13,4 of 5,18 of 26,0 of 0
500,Jake Matthews,Francisco Prado,0,0,68 of 184,59 of 146,36%,40%,95 of 215,64 of 152,0 of 0,1 of 6,---,16%,0,0,0,0,0:40,2:16,39 of 146,17 of 92,24 of 33,19 of 28,5 of 5,23 of 26,56 of 169,47 of 132,12 of 15,11 of 13,0 of 0,1 of 1
501,Jack Jenkins,Gabriel Santos,1,0,34 of 48,39 of 61,70%,63%,39 of 55,96 of 123,0 of 1,4 of 7,0%,57%,0,2,0,0,2:20,6:19,22 of 35,26 of 44,5 of 6,6 of 9,7 of 7,7 of 8,13 of 22,23 of 45,5 of 6,3 of 3,16 of 20,13 of 13
502,Tom Nolan,Viacheslav Borshchev,0,0,69 of 175,66 of 118,39%,55%,111 of 236,92 of 163,1 of 8,0 of 0,12%,---,3,1,0,0,2:01,3:11,43 of 130,20 of 67,11 of 23,26 of 31,15 of 22,20 of 20,63 of 163,61 of 106,5 of 11,1 of 4,1 of 1,4 of 8
503,Wang Cong,Bruna Brasil,0,0,103 of 181,31 of 64,56%,48%,104 of 182,31 of 64,2 of 2,0 of 1,100%,0%,0,0,0,0,0:03,0:00,38 of 99,11 of 30,21 of 32,12 of 19,44 of 50,8 of 15,102 of 177,30 of 63,0 of 1,1 of 1,1 of 3,0 of 0
504,Colby Thicknesse,Aleksandre Topuria,0,0,38 of 127,41 of 79,29%,51%,40 of 131,65 of 110,0 of 8,1 of 2,0%,50%,0,0,0,0,0:00,5:02,18 of 91,18 of 53,12 of 27,19 of 22,8 of 9,4 of 4,35 of 122,35 of 70,3 of 5,5 of 7,0 of 0,1 of 2
505,Rongzhu,Kody Steele,1,0,125 of 241,59 of 209,51%,28%,126 of 243,59 of 209,0 of 0,1 of 4,---,25%,0,0,1,0,0:18,0:06,108 of 220,47 of 194,4 of 8,10 of 11,13 of 13,2 of 4,125 of 241,58 of 205,0 of 0,1 of 4,0 of 0,0 of 0
506,Jonathan Micallef,Kevin Jousset,1,0,85 of 192,67 of 168,44%,39%,89 of 197,71 of 173,0 of 0,0 of 0,---,---,0,0,0,0,0:09,0:00,52 of 151,32 of 112,28 of 34,17 of 34,5 of 7,18 of 22,83 of 190,66 of 166,2 of 2,1 of 2,0 of 0,0 of 0
507,Quillan Salkilld,Anshul Jubli,1,0,6 of 7,0 of 1,85%,0%,6 of 7,0 of 1,0 of 0,0 of 0,---,---,0,0,0,0,0:01,0:00,2 of 3,0 of 1,1 of 1,0 of 0,3 of 3,0 of 0,5 of 6,0 of 1,0 of 0,0 of 0,1 of 1,0 of 0
508,Israel Adesanya,Nassourdine Imavov,0,1,26 of 50,15 of 31,52%,48%,32 of 56,18 of 34,0 of 1,0 of 3,0%,0%,0,0,0,0,0:00,0:44,9 of 28,9 of 21,6 of 8,0 of 3,11 of 14,6 of 7,26 of 50,10 of 25,0 of 0,0 of 0,0 of 0,5 of 6
509,Shara Magomedov,Michael Page,0,0,38 of 87,43 of 75,43%,57%,50 of 102,47 of 81,0 of 0,0 of 1,---,0%,0,0,0,0,0:40,0:50,8 of 42,23 of 53,17 of 20,11 of 12,13 of 25,9 of 10,34 of 82,38 of 69,4 of 5,5 of 6,0 of 0,0 of 0
510,Sergei Pavlovich,Jairzinho Rozenstruik,0,0,25 of 60,17 of 55,41%,30%,145 of 208,23 of 63,2 of 2,0 of 0,100%,---,0,0,0,0,6:17,0:00,21 of 55,7 of 43,2 of 3,3 of 3,2 of 2,7 of 9,25 of 60,17 of 55,0 of 0,0 of 0,0 of 0,0 of 0
511,Said Nurmagomedov,Vinicius Oliveira,0,0,38 of 79,43 of 94,48%,45%,69 of 111,68 of 125,1 of 9,3 of 5,11%,60%,0,1,0,0,0:58,7:12,18 of 54,24 of 63,13 of 17,11 of 18,7 of 8,8 of 13,37 of 76,31 of 74,1 of 3,2 of 5,0 of 0,10 of 15
