,blue_fighter,red_fighter,blue_fighter_kd,red_fighter_kd,blue_fighter_sig_str,red_fighter_sig_str,blue_fighter_sig_str_perc,red_fighter_sig_str_perc,blue_fighter_total_str,red_fighter_total_str,blue_fighter_td,red_fighter_td,blue_fighter_td_perc,red_fighter_td_perc,blue_fighter_sub_att,red_fighter_sub_att,blue_fighter_rev,red_fighter_rev,blue_fighter_ctrl,red_fighter_ctrl,blue_fighter_sig_str_head,red_fighter_sig_str_head,blue_fighter_sig_str_body,red_fighter_sig_str_body,blue_fighter_sig_str_leg,red_fighter_sig_str_leg,blue_fighter_sig_str_distance,red_fighter_sig_str_distance,blue_fighter_sig_str_clinch,red_fighter_sig_str_clinch,blue_fighter_sig_str_ground,red_fighter_sig_str_ground
1886,Rinat Fakhretdinov,Andreas Michailidis,0,0,45 of 61,18 of 33,73%,54%,106 of 130,48 of 65,5 of 10,0 of 2,50%,0%,0,0,0,1,13:00,0:39,27 of 41,7 of 22,10 of 11,5 of 5,8 of 9,6 of 6,10 of 20,9 of 22,18 of 22,7 of 9,17 of 19,2 of 2
1887,Erin Blanchfield,JJ Aldrich,0,0,48 of 100,32 of 71,48%,45%,68 of 121,38 of 77,0 of 4,2 of 6,0%,33%,1,0,0,0,0:56,0:42,29 of 76,29 of 66,11 of 11,3 of 5,8 of 13,0 of 0,46 of 96,31 of 68,2 of 4,1 of 3,0 of 0,0 of 0
1888,Holly Holm,Ketlen Vieira,0,0,96 of 157,85 of 151,61%,56%,188 of 263,122 of 190,0 of 6,1 of 7,0%,14%,0,1,0,0,10:03,1:24,26 of 79,49 of 109,34 of 40,29 of 34,36 of 38,7 of 8,76 of 133,49 of 110,20 of 24,32 of 37,0 of 0,4 of 4
1889,Santiago Ponzinibbio,Michel Pereira,0,0,105 of 220,110 of 216,47%,50%,106 of 221,110 of 216,1 of 4,0 of 0,25%,---,0,0,0,0,0:18,0:01,78 of 185,52 of 143,13 of 18,42 of 56,14 of 17,16 of 17,103 of 217,108 of 214,1 of 1,2 of 2,1 of 2,0 of 0
1890,Chidi Njokuani,Dusko Todorovic,1,0,14 of 17,5 of 7,82%,71%,19 of 23,9 of 11,0 of 0,2 of 7,---,28%,1,0,0,0,0:50,3:13,3 of 4,4 of 6,8 of 10,1 of 1,3 of 3,0 of 0,5 of 7,0 of 2,9 of 10,4 of 4,0 of 0,1 of 1
1891,Polyana Viana,Tabatha Ricci,0,0,36 of 97,33 of 73,37%,45%,126 of 212,72 of 126,0 of 0,5 of 10,---,50%,0,0,0,0,0:09,9:31,18 of 74,11 of 43,11 of 14,3 of 8,7 of 9,19 of 22,29 of 86,21 of 57,3 of 7,0 of 1,4 of 4,12 of 15
1892,Eryk Anders,JunYong Park,0,0,65 of 142,105 of 184,45%,57%,75 of 155,108 of 187,3 of 24,0 of 1,12%,0%,0,0,0,1,4:45,0:31,45 of 112,74 of 152,17 of 25,16 of 17,3 of 5,15 of 15,56 of 131,85 of 161,9 of 11,20 of 23,0 of 0,0 of 0
1893,Joseph Holmes,Alen Amedovski,1,0,16 of 23,1 of 8,69%,12%,16 of 23,1 of 8,1 of 1,0 of 0,100%,---,1,0,0,0,0:21,0:00,11 of 17,1 of 7,2 of 2,0 of 1,3 of 4,0 of 0,9 of 14,1 of 8,1 of 1,0 of 0,6 of 8,0 of 0
1894,Jailton Almeida,Parker Porter,0,0,18 of 34,0 of 0,52%,---,36 of 58,0 of 0,1 of 2,0 of 0,50%,---,1,0,0,0,4:29,0:00,16 of 32,0 of 0,2 of 2,0 of 0,0 of 0,0 of 0,1 of 1,0 of 0,0 of 0,0 of 0,17 of 33,0 of 0
1895,Omar Morales,Uros Medic,0,2,33 of 85,47 of 86,38%,54%,33 of 85,47 of 86,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:02,18 of 64,21 of 57,8 of 14,13 of 16,7 of 7,13 of 13,32 of 82,45 of 83,1 of 3,2 of 3,0 of 0,0 of 0
1896,Jonathan Martinez,Vince Morales,0,0,88 of 154,51 of 153,57%,33%,88 of 154,62 of 164,2 of 2,0 of 0,100%,---,0,0,0,1,0:41,0:14,41 of 98,33 of 127,18 of 22,15 of 23,29 of 34,3 of 3,86 of 151,48 of 149,2 of 3,2 of 3,0 of 0,1 of 1
1897,Chase Hooper,Felipe Colares,0,0,60 of 93,21 of 23,64%,91%,140 of 188,43 of 46,4 of 7,2 of 4,57%,50%,3,0,5,3,7:04,4:14,57 of 88,14 of 16,3 of 5,4 of 4,0 of 0,3 of 3,11 of 28,9 of 10,10 of 18,1 of 1,39 of 47,11 of 12
1898,Elise Reed,Sam Hughes,0,0,17 of 41,43 of 65,41%,66%,70 of 100,130 of 161,0 of 0,4 of 7,---,57%,0,0,0,0,0:00,11:59,10 of 34,33 of 51,7 of 7,6 of 10,0 of 0,4 of 4,13 of 37,7 of 19,4 of 4,6 of 10,0 of 0,30 of 36
1899,Jan Blachowicz,Aleksandar Rakic,0,0,31 of 71,27 of 85,43%,31%,53 of 94,61 of 125,0 of 0,1 of 4,---,25%,1,0,0,0,0:01,4:33,8 of 31,14 of 60,9 of 21,2 of 9,14 of 19,11 of 16,31 of 69,17 of 70,0 of 2,0 of 0,0 of 0,10 of 15
1900,Ryan Spann,Ion Cutelaba,0,0,4 of 11,2 of 9,36%,22%,5 of 12,2 of 9,0 of 0,3 of 3,---,100%,1,0,0,0,0:04,1:11,4 of 11,2 of 8,0 of 0,0 of 1,0 of 0,0 of 0,4 of 11,1 of 5,0 of 0,0 of 3,0 of 0,1 of 1
1901,Davey Grant,Louis Smolka,1,0,81 of 197,71 of 139,41%,51%,84 of 200,75 of 145,0 of 1,0 of 3,0%,0%,0,0,0,0,0:35,0:35,36 of 134,46 of 101,29 of 42,19 of 31,16 of 21,6 of 7,68 of 180,67 of 133,6 of 8,1 of 1,7 of 9,3 of 5
1902,Katlyn Cerminara,Amanda Ribas,0,0,63 of 222,55 of 169,28%,32%,71 of 230,84 of 204,0 of 2,3 of 6,0%,50%,0,0,0,0,0:06,4:49,42 of 175,28 of 124,20 of 44,8 of 23,1 of 3,19 of 22,56 of 210,49 of 156,7 of 12,3 of 7,0 of 0,3 of 6
1903,Frank Camacho,Manuel Torres,0,1,16 of 31,34 of 64,51%,53%,24 of 40,34 of 64,0 of 5,0 of 1,0%,0%,0,0,0,0,0:14,0:16,10 of 24,27 of 56,2 of 2,6 of 7,4 of 5,1 of 1,14 of 29,30 of 60,2 of 2,4 of 4,0 of 0,0 of 0
1904,Jake Hadley,Allan Nascimento,0,0,8 of 29,19 of 52,27%,36%,26 of 47,36 of 69,0 of 0,2 of 4,---,50%,1,0,1,3,3:50,9:27,5 of 25,7 of 32,3 of 4,8 of 16,0 of 0,4 of 4,3 of 20,10 of 27,1 of 1,1 of 2,4 of 8,8 of 23
1905,Viviane Araujo,Andrea Lee,0,1,39 of 79,47 of 82,49%,57%,96 of 160,64 of 103,3 of 5,1 of 2,60%,50%,2,0,0,0,10:40,0:48,25 of 63,34 of 65,9 of 11,9 of 13,5 of 5,4 of 4,32 of 66,36 of 64,0 of 0,7 of 11,7 of 13,4 of 7
1906,Michael Johnson,Alan Patrick,1,0,30 of 48,22 of 47,62%,46%,40 of 61,30 of 56,1 of 1,0 of 5,100%,0%,0,0,0,0,2:01,0:12,18 of 35,7 of 30,9 of 9,9 of 11,3 of 4,6 of 6,25 of 43,20 of 42,2 of 2,2 of 5,3 of 3,0 of 0
1907,Virna Jandiroba,Angela Hill,0,0,14 of 60,21 of 55,23%,38%,92 of 151,44 of 86,3 of 8,1 of 2,37%,50%,0,0,0,1,7:04,2:08,13 of 52,14 of 42,1 of 8,7 of 13,0 of 0,0 of 0,13 of 58,19 of 52,1 of 2,2 of 2,0 of 0,0 of 1
1908,Tatsuro Taira,Carlos Candelario,1,0,57 of 87,9 of 34,65%,26%,89 of 132,21 of 47,1 of 5,2 of 5,20%,40%,3,1,2,3,6:57,3:28,45 of 74,6 of 27,5 of 6,3 of 6,7 of 7,0 of 1,15 of 30,9 of 34,2 of 2,0 of 0,40 of 55,0 of 0
